Stock,MarketCap
20MICRONS.NS,5793134520.808273
21STCENMGM.NS,317204990.3869629
360ONE.NS,406179041928.3108
3IINFOLTD.NS,3277462000.331998
3MINDIA.NS,354680728950.0
3PLAND.NS,
5PAISA.NS,9503995996.389404
63MOONS.NS,65328612720.295654
A2ZINFRA.NS,3038067550.5
AAATECH.NS,1250613000.0
AADHARHFC.NS,205238227747.90118
AAKASH.NS,831262503.862381
AAREYDRUGS.NS,1950780828.2229767
AARNAV.NS,
AARON.NS,2920357924.4058533
AARTECH.NS,1295595853.717804
AARTIDRUGS.NS,32453117300.261475
AARTIIND.NS,155026066793.04642
AARTIPHARM.NS,63774154543.06592
AARTISURF.NS,3423960831.77948
AARVI.NS,1939757397.0794678
AAVAS.NS,101522897920.0
ABAN.NS,1166139126.8224754
ABB.NS,1455047333952.0
ABBOTINDIA.NS,549504777340.0
ABCAPITAL.NS,877905045545.7954
ABCOTS.NS,8895266100.0
ABDL.NS,141799064463.88055
ABFRL.NS,72265589863.25397
ABINFRA.NS,10278120899.871521
ABLBL.NS,122849441364.70627
ABMINTLLTD.NS,434649600.0
ABREL.NS,149697093162.0
ABSLAMC.NS,287679845780.76746
ACC.NS,262920942341.65002
ACCELYA.NS,16991796710.0
ACCURACY.NS,787428802.8717041
ACE.NS,107180001683.5
ACEINTEG.NS,182477993.77441406
ACI.NS,75655302336.13953
ACL.NS,5253811980.0
ACMESOLAR.NS,172035391740.94162
ACUTAAS.NS,189973743493.57324
ADANIENSOL.NS,1407915211513.0098
ADANIENT.NS,2909225769687.295
ADANIGREEN.NS,1793774832795.0
ADANIPORTS.NS,3362167624209.403
ADANIPOWER.NS,3498295396926.933
ADFFOODS.NS,21236633248.777084
ADL.NS,391195495.9658203
ADOR.NS,15652092235.873413
ADROITINFO.NS,548058857.6230621
ADSL.NS,6448261918.566284
ADVAIT.NS,20999638109.0
ADVANCE.NS,7039286449.5
ADVANIHOTR.NS,4877055104.845047
ADVENTHTL.NS,8567209708.429504
ADVENZYMES.NS,33930608736.853027
AEGISLOG.NS,216900454284.66797
AEGISVOPAK.NS,207305214354.54337
AEQUS.NS,96289747760.8363
AEROENTER.NS,9669898591.575623
AEROFLEX.NS,39212680149.0918
AERONEU.NS,2090545493.7288208
AETHER.NS,157227139328.0
AFCONS.NS,115392428290.0
AFFLE.NS,197743981061.489
AFFORDABLE.NS,1939980885.0
AFIL.NS,3793807299.802972
AFSL.NS,10182933150.12268
AGARIND.NS,5968157811.0
AGARWALEYE.NS,134802143367.28638
AGI.NS,35163026573.5
AGIIL.NS,45111556566.27649
AGRITECH.NS,717569626.8587036
AGROPHOS.NS,651204552.1449089
AGSTRA.NS,385599070.81828594
AHCL.NS,7119643262.794495
AHLADA.NS,563355580.2841187
AHLEAST.NS,2719292017.973877
AHLUCONT.NS,52843135070.56152
AIAENG.NS,355783910625.0
AIIL.NS,363978054483.2611
AIRAN.NS,2116588638.1530762
AIROLAM.NS,1252667000.0
AJANTPHARM.NS,360615012130.0
AJAXENGG.NS,54165900856.56738
AJMERA.NS,24320363717.0
AJOONI.NS,726867947.421855
AKASH.NS,453433555.8579254
AKG.NS,364477346.6752615
AKI.NS,545115096.75
AKSHAR.NS,354360815.61264396
AKSHARCHEM.NS,1474555632.827942
AKSHOPTFBR.NS,889957867.2346072
AKUMS.NS,80455131479.0
AKZOINDIA.NS,133897628999.15186
