Stock,Signal,Price,RSI
AGSTRA.NS,EXIT,2.04,30.33
BBL.NS,EXIT,2329.4,38.7
BLUESTARCO.NS,EXIT,1514.0,39.31
BOHRAIND.NS,EXIT,13.85,35.44
CANTABIL.NS,EXIT,227.69,42.72
COASTCORP.NS,EXIT,43.33,40.35
ELDEHSG.NS,EXIT,759.6,40.55
ENIL.NS,EXIT,102.08,37.22
FELDVR.NS,EXIT,2.26,32.64
GANESHCP.NS,EXIT,161.8,38.56
GLFL.NS,EXIT,5.2,44.34
IXIGO.NS,EXIT,176.25,47.75
JAINREC.NS,EXIT,308.4,39.34
JAYKAY.NS,EXIT,148.85,42.44
JUNIPER.NS,EXIT,194.85,38.46
PROTEAN.NS,EXIT,565.95,42.87
REPRO.NS,EXIT,371.15,42.79
RSYSTEMS.NS,EXIT,247.85,43.42
RUSTOMJEE.NS,EXIT,380.0,43.74
SHYAMCENT.NS,EXIT,5.03,42.03
TARACHAND.NS,EXIT,49.49,29.73
TCC.NS,EXIT,273.75,14.86
TECILCHEM.NS,EXIT,9.19,30.21
TIRUMALCHM.NS,EXIT,167.76,39.31
TTL.NS,EXIT,5.81,24.51
UGROCAP.NS,EXIT,95.08,38.03
TVVISION.NS,EXIT,4.13,27.19
V2RETAIL.NS,BUY,219.44,51.21
